Title,Link,Description,Keyword
Donald Trump,https://timesofindia.indiatimes.com/topic/Donald-Trump,Donald Trump,trump
Bestseller,http://www.spiegel.de/international/kultur/bestseller-buecher-belletristik-sachbuch-auf-spiegel-liste-a-458623.html,Bestseller,best
"Full interview: Lebanon PM Hariri on Hezbollah, Syrian war and Trump",http://www.euronews.com/news/international/2018/08/31/full-interview-lebanon-pm-hariri-on-the-syrian-war-putin-as-an-ally-and-hezbollah,"Full interview: Lebanon PM Hariri on Hezbollah, Syrian war and Trump",trump
"Melania Trump in Egypt to tour pyramids, Sphinx",http://timesofindia.indiatimes.com/world/videos/news/melania-trump-in-egypt-to-tour-pyramids-sphinx/videoshow/66104500.cms,"Melania Trump in Egypt to tour pyramids, Sphinx",trump
Donald Trump Iowa rally LIVE: US President in Council Bluffs - Brett Kavanaugh victory lap,http://www.express.co.uk/news/world/news/world/1029248/trump-rally-Iowa-live-updates-us-president-Council-Bluffs-mid-term-elections-campaign,Donald Trump Iowa rally LIVE: US President in Council Bluffs - Brett Kavanaugh victory lap,trump
Trump taps Indian-American woman to head nuclear energy division,http://timesofindia.indiatimes.com/world/nri/us-canada-news/donald-trump-taps-indian-american-woman-to-head-nuclear-energy-division/articleshow/66062297.cms,Trump taps Indian-American woman to head nuclear energy division,trump
"Permanent Link to When Will America Come Home? When Trump Visits London, Seoul or Berlin",https://www.e-ir.info/2018/05/30/when-will-america-come-home-when-trump-visits-london-seoul-or-berlin/,"When Will America Come Home? When Trump Visits London, Seoul or Berlin",trump
Trump calls Democrats 'anti-police',http://www.euronews.com/news/international/2018/10/09/trump-calls-democrats-anti-police-n917896,Trump calls Democrats 'anti-police',trump
"Trump apologizes on behalf of the nation to Kavanaugh, says he was 'proven innocent'",http://www.euronews.com/news/international/2018/10/09/trump-apologizes-behalf-nation-kavanaugh-says-he-was-proven-innocent-n917956,"Trump apologizes on behalf of the nation to Kavanaugh, says he was 'proven...",trump
Melania Trump visits pyramids in Egypt,http://photogallery.indiatimes.com/news/world/melania-trump-visits-pyramids-in-egypt/articleshow/66119088.cms,Melania Trump visits pyramids in Egypt,trump
Trump says next summit with North Korea's Kim to come after November U.S. elections,http://www.euronews.com/news/international/2018/10/09/trump-says-next-meeting-with-north-koreas-kim-being-set-up,Trump says next summit with North Korea's Kim to come after November U.S....,trump
"Planned Kim Summit Narrowed Down To ""Three Or Four"" Locations: Trump",https://www.ndtv.com/world-news/donald-trump-says-planned-kim-summit-narrowed-down-to-three-or-four-locations-1929518,"Planned Kim Summit Narrowed Down To ""Three Or Four"" Locations: Trump",trump
Nikki Haley quits Trump cabinet suggesting burnout,http://timesofindia.indiatimes.com/world/world/us/nikki-haley-quits-trump-cabinet-pleading-burnout/articleshow/66139273.cms,Nikki Haley quits Trump cabinet suggesting burnout,trump
First lady Melania Trump feeds elephant in Kenya,http://timesofindia.indiatimes.com/world/videos/news/first-lady-melania-trump-feeds-elephant-in-kenya/videoshow/66089834.cms,First lady Melania Trump feeds elephant in Kenya,trump
Trump Says He Would Consider Former Adviser Dina Powell For UN Enovy,https://www.ndtv.com/world-news/donald-trump-says-he-would-consider-former-adviser-dina-powell-for-un-enovy-1929541,Trump Says He Would Consider Former Adviser Dina Powell For UN Enovy,trump
Melania Trump visits former slave holding facility in Ghana,http://photogallery.indiatimes.com/news/world/melania-trump-visits-former-slave-holding-facility-in-ghana/articleshow/66070701.cms,Melania Trump visits former slave holding facility in Ghana,trump
Trump dismisses sex assault claim against Kavanaugh as 'Democrat hoax',http://www.euronews.com/news/international/2018/10/09/trump-dismisses-sex-assault-claim-against-kavanaugh-as-democrat-hoax,Trump dismisses sex assault claim against Kavanaugh as 'Democrat hoax',trump
Pictures of Melania Trump's first extended international trip alone to Africa,http://photogallery.indiatimes.com/news/world/pictures-of-melania-trumps-first-extended-international-trip-alone-to-africa/articleshow/66084578.cms,Pictures of Melania Trump's first extended international trip alone to Africa,trump
